epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.9633,2.60815,4.68003,1.1517,0.00056,0.00569,0.00031,5e-05,2.81751,3.69417,1.09788,0.00036,0.00036,0.00036
2,7.2949,2.72703,3.47183,1.16768,0.00078,0.00796,0.00039,0.00016,2.90126,3.61671,1.14298,0.000732674,0.000732674,0.000732674
3,9.78354,2.74281,2.98827,1.17328,0.00556,0.05688,0.00295,0.00087,2.64748,3.41644,1.08993,0.00109782,0.00109782,0.00109782
4,12.0731,2.63552,2.83268,1.16075,0.00278,0.02844,0.00539,0.00179,2.81463,3.42626,1.15484,0.00145545,0.00145545,0.00145545
5,14.3616,2.71232,2.71418,1.19183,0.01367,0.13993,0.07015,0.01795,2.65059,3.05363,1.09645,0.00180555,0.00180555,0.00180555
6,16.645,2.71576,2.84069,1.12642,0.03322,0.34016,0.11805,0.03159,2.86328,2.7397,1.11735,0.001901,0.001901,0.001901
7,18.893,2.6446,2.62319,1.14929,0.33862,0.21085,0.20115,0.06425,2.58317,2.20555,1.07733,0.0018812,0.0018812,0.0018812
8,21.1369,2.46664,2.42848,1.15734,0.36501,0.29494,0.23763,0.07148,2.67673,1.98049,1.11634,0.0018614,0.0018614,0.0018614
9,23.3787,2.58807,2.44342,1.08799,0.37742,0.28896,0.25699,0.07988,2.5807,1.94784,1.08264,0.0018416,0.0018416,0.0018416
10,25.7663,2.54932,2.37161,1.0708,0.35556,0.26394,0.23429,0.07553,2.58926,1.89592,1.08579,0.0018218,0.0018218,0.0018218
11,28.0404,2.55117,2.28469,1.08374,0.35896,0.24801,0.19231,0.05944,2.77107,1.94926,1.13955,0.001802,0.001802,0.001802
12,30.2749,2.48934,2.15298,1.10455,0.3844,0.2901,0.23034,0.07141,2.61869,2.06612,1.06378,0.0017822,0.0017822,0.0017822
13,32.5952,2.44342,1.95145,1.11709,0.35082,0.28896,0.23639,0.07277,2.59415,1.96382,1.07449,0.0017624,0.0017624,0.0017624
